"Bestemming en seizoen";"Vakantiekenmerken";"Perioden";"Deelname/Totaal Nederlanders (x 1 000)";"Vakanties/Totaal (x 1 000)";"Vakantiedagen/Totaal (mln )";"Overnachtingen/Totaal (mln )";"Uitgaven/Totaal (mln euro)"
"Totaal vakanties";"Totaal vakanties";"2017*";"   14084";"   41252";"   364.9";"   323.6";"   20637"
"Totaal vakanties";"Totaal vakanties";"2018*";"   14124";"   40854";"   366.9";"   326.1";"   21338"
"Totaal vakanties";"Accommodatie: hotel, pension, B&B";"2017*";"    7642";"   14565";"   101.3";"    86.8";"    9900"
"Totaal vakanties";"Accommodatie: hotel, pension, B&B";"2018*";"    7770";"   14517";"   104.1";"    89.6";"   10300"
"Totaal vakanties";"Accommodatie: vakantiehuis, stacaravan";"2017*";"    6341";"   11740";"    98.8";"    87.1";"    3555"
"Totaal vakanties";"Accommodatie: vakantiehuis, stacaravan";"2018*";"    6457";"   11696";"    99.5";"    87.8";"    3754"
"Totaal vakanties";"Accommodatie: appartement";"2017*";"    2004";"    2451";"    25.0";"    22.5";"    1762"
"Totaal vakanties";"Accommodatie: appartement";"2018*";"    2065";"    2428";"    25.0";"    22.5";"    1855"
"Totaal vakanties";"Accommodatie: kampeerverblijf";"2017*";"    3064";"    5358";"    72.1";"    66.8";"    2172"
"Totaal vakanties";"Accommodatie: kampeerverblijf";"2018*";"    3104";"    5226";"    74.7";"    69.5";"    2143"
"Totaal vakanties";"Accommodatie: particulier (alle)";"2017*";"    4017";"    5726";"    56.2";"    50.5";"    2497"
"Totaal vakanties";"Accommodatie: particulier (alle)";"2018*";"    3942";"    5677";"    53.3";"    47.6";"    2517"
"Totaal vakanties";"Accommodatie: overig, onbekend";"2017*";"     965";"    1412";"    11.4";"    10.0";"     752"
"Totaal vakanties";"Accommodatie: overig, onbekend";"2018*";"     893";"    1310";"    10.3";"     9.0";"     768"
"Totaal vakanties";"Organisatie: eigen recreatieve accom.";"2017*";"    1681";"    5232";"    52.5";"    47.2";"     895"
"Totaal vakanties";"Organisatie: eigen recreatieve accom.";"2018*";"    1709";"    4916";"    52.8";"    47.8";"     923"
"Totaal vakanties";"Organisatie: accommodatie en vervoer";"2017*";"    6023";"    9437";"    95.7";"    86.3";"    9973"
"Totaal vakanties";"Organisatie: accommodatie en vervoer";"2018*";"    6298";"    9822";"   101.1";"    91.3";"   10581"
"Totaal vakanties";"Organisatie: pakketreis";"2017*";"    3850";"    4942";"    53.1";"    48.1";"    5734"
