"ID";"Vakantiekenmerken";"Perioden";"TotaalNaarOrganisatievormEnVervoer_1";"GeorganiseerdeReisPerAuto_2";"GeorganiseerdeReisPerTouringcar_3";"GeorganiseerdeReisPerVliegtuig_4";"GeorganiseerdeReisMetOverigVervoer_5";"NietGeorganiseerdeReizen_6"
"0";" 10";"2002JJ00";"    3585";"     830";"     189";"     360";"     451";"    1755"
"1";" 10";"2003JJ00";"    3456";"     923";"     241";"     348";"     404";"    1539"
"2";" 10";"2004JJ00";"    3563";"    1001";"     201";"     448";"     339";"    1574"
"3";" 10";"2005JJ00";"    3291";"     998";"     255";"     374";"     294";"    1369"
"4";" 10";"2006JJ00";"    3229";"     838";"     208";"     456";"     336";"    1392"
"5";" 10";"2007JJ00";"    3662";"     995";"     203";"     497";"     393";"    1573"
"6";" 10";"2008JJ00";"    3363";"    1044";"     144";"     456";"     343";"    1377"
"7";" 10";"2009JJ00";"    3816";"    1202";"     201";"     511";"     376";"    1526"
"8";" 10";"2010JJ00";"    3624";"    1232";"     150";"     570";"     322";"    1351"
"9";" 10";"2011JJ00";"    3701";"    1439";"     184";"     599";"     420";"    1059"
"10";" 10";"2012JJ00";"    3785";"    1461";"     180";"     713";"     394";"    1037"
"11";" 10";"2013JJ00";"    3646";"    1505";"     123";"     743";"     357";"     918"
"12";" 10";"2014JJ00";"    3511";"    1348";"     183";"     677";"     301";"    1001"
"13";" 10";"2015JJ00";"    3677";"    1506";"     152";"     730";"     351";"     938"
"14";" 10";"2016JJ00";"    3603";"    1506";"     135";"     801";"     305";"     856"
"15";"111";"2002JJ00";"    1209";"     344";"      24";"       0";"      86";"     755"
"16";"111";"2003JJ00";"    1239";"     411";"      24";"       0";"     102";"     702"
"17";"111";"2004JJ00";"    1185";"     433";"      21";"       0";"     109";"     622"
"18";"111";"2005JJ00";"    1057";"     441";"      35";"       0";"      70";"     512"
"19";"111";"2006JJ00";"    1031";"     310";"      30";"       0";"     107";"     584"
"20";"111";"2007JJ00";"    1172";"     411";"      28";"       0";"      87";"     646"
"21";"111";"2008JJ00";"    1002";"     391";"      39";"       0";"     123";"     449"
"22";"111";"2009JJ00";"    1101";"     426";"      24";"       0";"      90";"     562"
"23";"111";"2010JJ00";"    1166";"     498";"      19";"       0";"     111";"     538"
"24";"111";"2011JJ00";"    1108";"     530";"      30";"       .";"     137";"     411"
"25";"111";"2012JJ00";"    1036";"     521";"      15";"       0";"     126";"     374"
"26";"111";"2013JJ00";"     979";"     543";"      23";"       0";"      93";"     320"
"27";"111";"2014JJ00";"     779";"     424";"      15";"       0";"      89";"     250"
"28";"111";"2015JJ00";"     847";"     433";"      20";"       1";"      95";"     297"
"29";"111";"2016JJ00";"     729";"     449";"      19";"       0";"      48";"     213"
"30";"112";"2002JJ00";"      88";"      19";"       .";"       0";"      10";"      57"
"31";"112";"2003JJ00";"      73";"      18";"       .";"       0";"       5";"      51"
"32";"112";"2004JJ00";"     110";"      22";"       .";"       0";"       .";"      83"
"33";"112";"2005JJ00";"      99";"      39";"       .";"       0";"       .";"      51"
"34";"112";"2006JJ00";"      89";"      23";"       .";"       0";"       .";"      58"
"35";"112";"2007JJ00";"      54";"      19";"       0";"       0";"       2";"      34"
"36";"112";"2008JJ00";"      62";"      23";"       .";"       0";"       .";"      32"
"37";"112";"2009JJ00";"      60";"      31";"       .";"       0";"       0";"      25"
"38";"112";"2010JJ00";"      62";"      19";"       1";"       0";"       6";"      36"
"39";"112";"2011JJ00";"      45";"      27";"       .";"       .";"       2";"      17"
"40";"112";"2012JJ00";"      65";"       .";"       .";"       .";"       .";"       ."
"41";"112";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"42";"112";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"43";"112";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"44";"112";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"45";"113";"2002JJ00";"     674";"     250";"      86";"      39";"     115";"     183"
"46";"113";"2003JJ00";"     564";"     191";"      97";"      31";"      83";"     162"
"47";"113";"2004JJ00";"     605";"     212";"     103";"      28";"      71";"     191"
"48";"113";"2005JJ00";"     590";"     219";"      90";"      27";"      84";"     171"
"49";"113";"2006JJ00";"     532";"     206";"       .";"      21";"       .";"     164"
