"ID";"Vakantiekenmerken";"Perioden";"Totaal_1";"Auto_2";"TreinAutoslaaptrein_3";"Touringcar_4";"Vliegtuig_5";"OverigeVervoermiddelen_6";"GeorganiseerdeReisPerAuto_7";"GeorganiseerdeReisPerTouringcar_8";"GeorganiseerdeReisPerVliegtuig_9";"GeorganiseerdeReisMetOverigVervoer_10";"NietGeorganiseerdeReizen_11"
"0";" 10";"2002JJ00";"   13173";"    7617";"     352";"     838";"    3926";"     440";"    2296";"     838";"    3874";"     593";"    5572"
"1";" 10";"2003JJ00";"   13007";"    7253";"     307";"     844";"    4290";"     312";"    2399";"     838";"    4257";"     528";"    4985"
"2";" 10";"2004JJ00";"   13610";"    7443";"     351";"     732";"    4768";"     316";"    2958";"     732";"    4738";"     595";"    4588"
"3";" 10";"2005JJ00";"   13795";"    7280";"     342";"     727";"    5111";"     335";"    2893";"     724";"    5067";"     544";"    4567"
"4";" 10";"2006JJ00";"   13518";"    7295";"     283";"     699";"    4932";"     310";"    2954";"     692";"    4883";"     494";"    4497"
"5";" 10";"2007JJ00";"   13894";"    7242";"     321";"     778";"    5257";"     295";"    3079";"     776";"    5198";"     494";"    4346"
"6";" 10";"2008JJ00";"   15094";"    7671";"     429";"     808";"    5899";"     286";"    3049";"     799";"    5806";"     587";"    4853"
"7";" 10";"2009JJ00";"   14592";"    7791";"     353";"     698";"    5436";"     315";"    3206";"     698";"    5321";"     577";"    4791"
"8";" 10";"2010JJ00";"   14806";"    7789";"     360";"     618";"    5693";"     346";"    3193";"     618";"    5563";"     569";"    4863"
"9";" 10";"2011JJ00";"   14858";"    7527";"     389";"     593";"    5957";"     393";"    3446";"     592";"    5892";"     658";"    4270"
"10";" 10";"2012JJ00";"   14844";"    7676";"     291";"     497";"    6054";"     326";"    3468";"     497";"    5956";"     568";"    4355"
"11";" 10";"2013JJ00";"   14448";"    7493";"     295";"     480";"    5826";"     354";"    3311";"     476";"    5712";"     547";"    4400"
"12";" 10";"2014JJ00";"   14422";"    7130";"     279";"     461";"    6208";"     345";"    3196";"     461";"    6079";"     556";"    4131"
"13";" 10";"2015JJ00";"   14392";"    7091";"     278";"     479";"    6251";"     294";"    3510";"     479";"    6126";"     482";"    3796"
"14";" 10";"2016JJ00";"   14335";"    7427";"     197";"     444";"    5974";"     293";"    3681";"     442";"    5824";"     394";"    3993"
"15";"111";"2002JJ00";"     965";"     911";"      29";"       6";"       0";"      19";"     343";"       6";"       0";"      38";"     577"
"16";"111";"2003JJ00";"    1040";"     984";"      21";"      20";"       0";"      15";"     392";"      20";"       0";"      19";"     609"
"17";"111";"2004JJ00";"    1053";"    1018";"      17";"       8";"       0";"      11";"     430";"       8";"       0";"      21";"     595"
"18";"111";"2005JJ00";"     984";"     920";"      35";"      14";"       0";"      15";"     375";"      14";"       0";"      24";"     570"
"19";"111";"2006JJ00";"     896";"     848";"      27";"      11";"       0";"      10";"     396";"      11";"       0";"       9";"     480"
"20";"111";"2007JJ00";"     924";"     857";"      36";"      16";"       0";"      15";"     410";"      16";"       0";"      28";"     471"
"21";"111";"2008JJ00";"     968";"     866";"      72";"      21";"       0";"       8";"     395";"      21";"       0";"      36";"     515"
"22";"111";"2009JJ00";"     889";"     818";"      36";"      10";"       0";"      25";"     414";"      10";"       0";"      25";"     440"
