"ID";"BestemmingEnSeizoen";"Vakantiekenmerken";"Perioden";"TotaalNederlanders_1";"PercentageNederlanders_2";"Totaal_3";"GemiddeldPerNederlander_4";"GemiddeldPerDeelnemer_5";"Totaal_6";"GemiddeldPerNederlander_7";"GemiddeldPerDeelnemer_8";"GemiddeldPerVakantie_9";"Totaal_10";"GemiddeldPerNederlander_11";"GemiddeldPerDeelnemer_12";"GemiddeldPerVakantie_13";"Totaal_14";"GemiddeldPerNederlander_15";"GemiddeldPerDeelnemer_16";"GemiddeldPerPersoonPerVakantie_17";"GemiddeldPerPersoonPerVakantiedag_18"
"0";"T001047";"T001460";"2017JJ00";"   14084";"    83.6";"   41252";"     2.4";"     2.9";"   364.9";"    21.7";"    25.9";"     8.8";"   323.6";"    19.2";"    23.0";"     7.8";"   20637";"    1225";"    1465";"     500";"      57"
"1";"T001047";"T001460";"2018JJ00";"   14124";"    83.3";"   40854";"     2.4";"     2.9";"   366.9";"    21.6";"    26.0";"     9.0";"   326.1";"    19.2";"    23.1";"     8.0";"   21338";"    1259";"    1511";"     522";"      58"
"2";"T001047";"A046359";"2017JJ00";"    7642";"    45.4";"   14565";"     0.9";"     1.9";"   101.3";"     6.0";"    13.3";"     7.0";"    86.8";"     5.2";"    11.4";"     6.0";"    9900";"     588";"    1295";"     680";"      98"
"3";"T001047";"A046359";"2018JJ00";"    7770";"    45.8";"   14517";"     0.9";"     1.9";"   104.1";"     6.1";"    13.4";"     7.2";"    89.6";"     5.3";"    11.5";"     6.2";"   10300";"     608";"    1326";"     710";"      99"
"4";"T001047";"A046360";"2017JJ00";"    6341";"    37.7";"   11740";"     0.7";"     1.9";"    98.8";"     5.9";"    15.6";"     8.4";"    87.1";"     5.2";"    13.7";"     7.4";"    3555";"     211";"     561";"     303";"      36"
"5";"T001047";"A046360";"2018JJ00";"    6457";"    38.1";"   11696";"     0.7";"     1.8";"    99.5";"     5.9";"    15.4";"     8.5";"    87.8";"     5.2";"    13.6";"     7.5";"    3754";"     222";"     581";"     321";"      38"
"6";"T001047";"A046361";"2017JJ00";"    2004";"    11.9";"    2451";"     0.1";"     1.2";"    25.0";"     1.5";"    12.5";"    10.2";"    22.5";"     1.3";"    11.3";"     9.2";"    1762";"     105";"     879";"     719";"      70"
"7";"T001047";"A046361";"2018JJ00";"    2065";"    12.2";"    2428";"     0.1";"     1.2";"    25.0";"     1.5";"    12.1";"    10.3";"    22.5";"     1.3";"    10.9";"     9.3";"    1855";"     109";"     898";"     764";"      74"
"8";"T001047";"A046362";"2017JJ00";"    3064";"    18.2";"    5358";"     0.3";"     1.7";"    72.1";"     4.3";"    23.5";"    13.5";"    66.8";"     4.0";"    21.8";"    12.5";"    2172";"     129";"     709";"     405";"      30"
"9";"T001047";"A046362";"2018JJ00";"    3104";"    18.3";"    5226";"     0.3";"     1.7";"    74.7";"     4.4";"    24.1";"    14.3";"    69.5";"     4.1";"    22.4";"    13.3";"    2143";"     126";"     690";"     410";"      29"
