;ID;Vakantiekenmerken;Perioden;Totaal;Auto;Touringcar;Vliegtuig;Overig vervoer;Niet georganiseerd
0;0;Totaal;2002;3585;830;189;360;451;1755
1;1;Totaal;2003;3456;923;241;348;404;1539
2;2;Totaal;2004;3563;1001;201;448;339;1574
3;3;Totaal;2005;3291;998;255;374;294;1369
4;4;Totaal;2006;3229;838;208;456;336;1392
5;5;Totaal;2007;3662;995;203;497;393;1573
6;6;Totaal;2008;3363;1044;144;456;343;1377
7;7;Totaal;2009;3816;1202;201;511;376;1526
8;8;Totaal;2010;3624;1232;150;570;322;1351
9;9;Totaal;2011;3701;1439;184;599;420;1059
10;10;Totaal;2012;3785;1461;180;713;394;1037
11;11;Totaal;2013;3646;1505;123;743;357;918
12;12;Totaal;2014;3511;1348;183;677;301;1001
13;13;Totaal;2015;3677;1506;152;730;351;938
14;14;Totaal;2016;3603;1506;135;801;305;856
15;15;*België;2002;1209;344;24;0;86;755
16;16;*België;2003;1239;411;24;0;102;702
17;17;*België;2004;1185;433;21;0;109;622
18;18;*België;2005;1057;441;35;0;70;512
19;19;*België;2006;1031;310;30;0;107;584
20;20;*België;2007;1172;411;28;0;87;646
21;21;*België;2008;1002;391;39;0;123;449
22;22;*België;2009;1101;426;24;0;90;562
23;23;*België;2010;1166;498;19;0;111;538
24;24;*België;2011;1108;530;30;0;137;411
25;25;*België;2012;1036;521;15;0;126;374
26;26;*België;2013;979;543;23;0;93;320
27;27;*België;2014;779;424;15;0;89;250
28;28;*België;2015;847;433;20;1;95;297
29;29;*België;2016;729;449;19;0;48;213
30;30;*Luxemburg;2002;88;19;0;0;10;57
31;31;*Luxemburg;2003;73;18;0;0;5;51
32;32;*Luxemburg;2004;110;22;0;0;0;83
33;33;*Luxemburg;2005;99;39;0;0;0;51
34;34;*Luxemburg;2006;89;23;0;0;0;58
35;35;*Luxemburg;2007;54;19;0;0;2;34
36;36;*Luxemburg;2008;62;23;0;0;0;32
37;37;*Luxemburg;2009;60;31;0;0;0;25
38;38;*Luxemburg;2010;62;19;1;0;6;36
39;39;*Luxemburg;2011;45;27;0;0;2;17
40;40;*Luxemburg;2012;65;0;0;0;0;0
41;41;*Luxemburg;2013;0;0;0;0;0;0
42;42;*Luxemburg;2014;0;0;0;0;0;0
43;43;*Luxemburg;2015;0;0;0;0;0;0
44;44;*Luxemburg;2016;0;0;0;0;0;0
45;45;*Frankrijk;2002;674;250;86;39;115;183
46;46;*Frankrijk;2003;564;191;97;31;83;162
47;47;*Frankrijk;2004;605;212;103;28;71;191
48;48;*Frankrijk;2005;590;219;90;27;84;171
49;49;*Frankrijk;2006;532;206;0;21;0;164
50;50;*Frankrijk;2007;551;245;60;8;103;136
51;51;*Frankrijk;2008;532;255;38;10;79;150
52;52;*Frankrijk;2009;534;198;69;12;96;159
53;53;*Frankrijk;2010;535;237;47;31;65;156
54;54;*Frankrijk;2011;499;224;34;41;67;132
55;55;*Frankrijk;2012;532;256;57;48;48;123
56;56;*Frankrijk;2013;437;224;36;31;63;84
57;57;*Frankrijk;2014;502;189;61;10;54;187
58;58;*Frankrijk;2015;428;235;31;21;56;85
59;59;*Frankrijk;2016;396;193;23;24;68;88
60;60;*Spanje;2002;77;2;0;68;0;7
61;61;*Spanje;2003;48;0;0;36;2;9
62;62;*Spanje;2004;100;3;0;91;0;3
63;63;*Spanje;2005;74;0;0;67;0;2
64;64;*Spanje;2006;97;0;0;90;0;3
65;65;*Spanje;2007;109;0;0;106;0;2
66;66;*Spanje;2008;115;5;0;110;0;0
67;67;*Spanje;2009;100;0;0;97;0;3
68;68;*Spanje;2010;74;0;0;71;0;3
69;69;*Spanje;2011;125;0;0;123;0;2
70;70;*Spanje;2012;117;0;0;0;0;0
71;71;*Spanje;2013;0;0;0;0;0;0
72;72;*Spanje;2014;0;0;0;0;0;0
73;73;*Spanje;2015;0;0;0;0;0;0
74;74;*Spanje;2016;0;0;0;0;0;0
75;75;*Portugal;2002;3;0;0;3;0;0
76;76;*Portugal;2003;8;0;0;8;0;0
77;77;*Portugal;2004;12;0;0;12;0;0
78;78;*Portugal;2005;13;0;0;13;0;0
79;79;*Portugal;2006;12;0;0;12;0;0
80;80;*Portugal;2007;8;0;0;8;0;0
81;81;*Portugal;2008;9;0;0;9;0;0
82;82;*Portugal;2009;5;0;0;5;0;0
83;83;*Portugal;2010;12;0;0;12;0;0
84;84;*Portugal;2011;0;0;0;0;0;0
85;85;*Portugal;2012;24;0;0;0;0;0
86;86;*Portugal;2013;0;0;0;0;0;0
87;87;*Portugal;2014;0;0;0;0;0;0
88;88;*Portugal;2015;0;0;0;0;0;0
89;89;*Portugal;2016;0;0;0;0;0;0
90;90;*Oostenrijk;2002;17;3;0;6;0;4
91;91;*Oostenrijk;2003;32;6;0;7;2;12
92;92;*Oostenrijk;2004;22;0;0;10;0;12
93;93;*Oostenrijk;2005;29;5;0;11;0;7
94;94;*Oostenrijk;2006;37;4;0;11;0;12
95;95;*Oostenrijk;2007;23;3;0;10;4;6
96;96;*Oostenrijk;2008;29;2;0;17;0;8
97;97;*Oostenrijk;2009;21;5;0;5;0;9
98;98;*Oostenrijk;2010;38;11;0;10;0;17
99;99;*Oostenrijk;2011;23;0;1;9;0;13
100;100;*Oostenrijk;2012;38;0;0;0;0;0
101;101;*Oostenrijk;2013;0;0;0;0;0;0
102;102;*Oostenrijk;2014;0;0;0;0;0;0
103;103;*Oostenrijk;2015;0;0;0;0;0;0
104;104;*Oostenrijk;2016;0;0;0;0;0;0
105;105;*Zwitserland;2002;36;0;0;6;0;30
